name,duration_ms,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
Missing You,269773,3,0.742,0.493,11,-12.055,0,0.0283,0.118,0.0,0.0484,0.616,104.313,audio_features,5P6Wv0hlcnczhElizTY0UE,spotify:track:5P6Wv0hlcnczhElizTY0UE,https://api.spotify.com/v1/tracks/5P6Wv0hlcnczhElizTY0UE,https://api.spotify.com/v1/audio-analysis/5P6Wv0hlcnczhElizTY0UE,4
Is This Love - 2017 Remaster,284600,4,0.333,0.79,0,-6.802,1,0.0386,0.109,0.0,0.115,0.534,180.356,audio_features,0LIEDX1qDrcsFbWCUsYJmR,spotify:track:0LIEDX1qDrcsFbWCUsYJmR,https://api.spotify.com/v1/tracks/0LIEDX1qDrcsFbWCUsYJmR,https://api.spotify.com/v1/audio-analysis/0LIEDX1qDrcsFbWCUsYJmR,4
Cold as Ice - 2008 Remaster,200027,3,0.554,0.708,3,-5.318,0,0.0271,0.0594,2.72e-06,0.143,0.512,131.157,audio_features,3iM9wFGlyR28IBZrXYZK9j,spotify:track:3iM9wFGlyR28IBZrXYZK9j,https://api.spotify.com/v1/tracks/3iM9wFGlyR28IBZrXYZK9j,https://api.spotify.com/v1/audio-analysis/3iM9wFGlyR28IBZrXYZK9j,4
What's Love Got to Do with It,226880,12,0.851,0.406,1,-11.631,1,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,audio_features,4kOfxxnW1ukZdsNbCKY9br,spotify:track:4kOfxxnW1ukZdsNbCKY9br,https://api.spotify.com/v1/tracks/4kOfxxnW1ukZdsNbCKY9br,https://api.spotify.com/v1/audio-analysis/4kOfxxnW1ukZdsNbCKY9br,4
Total Eclipse of the Heart,269787,6,0.435,0.658,8,-8.179,1,0.0661,0.195,0.0,0.102,0.184,130.276,audio_features,5prTs2HAw2G4idHZyeFp8o,spotify:track:5prTs2HAw2G4idHZyeFp8o,https://api.spotify.com/v1/tracks/5prTs2HAw2G4idHZyeFp8o,https://api.spotify.com/v1/audio-analysis/5prTs2HAw2G4idHZyeFp8o,4
You Can't Hurry Love,175347,5,0.639,0.923,7,-5.708,1,0.032,0.0674,0.0,0.0879,0.761,97.874,audio_features,4YUlGNZfYA6EUE5KDsGqpC,spotify:track:4YUlGNZfYA6EUE5KDsGqpC,https://api.spotify.com/v1/tracks/4YUlGNZfYA6EUE5KDsGqpC,https://api.spotify.com/v1/audio-analysis/4YUlGNZfYA6EUE5KDsGqpC,4
Crying in the Rain,260227,1,0.394,0.547,2,-9.276,1,0.0383,0.436,0.000111,0.344,0.151,181.74,audio_features,6c9nkeetGbsoXa7d5E1wHa,spotify:track:6c9nkeetGbsoXa7d5E1wHa,https://api.spotify.com/v1/tracks/6c9nkeetGbsoXa7d5E1wHa,https://api.spotify.com/v1/audio-analysis/6c9nkeetGbsoXa7d5E1wHa,4
Africa,295893,10,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,4
Maniac,244707,10,0.617,0.533,3,-11.516,0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,audio_features,1xPSDf8z4dH46gkvlLtvDO,spotify:track:1xPSDf8z4dH46gkvlLtvDO,https://api.spotify.com/v1/tracks/1xPSDf8z4dH46gkvlLtvDO,https://api.spotify.com/v1/audio-analysis/1xPSDf8z4dH46gkvlLtvDO,4
"Footloose - From ""Footloose"" Soundtrack",226293,1,0.564,0.911,2,-5.39,1,0.0536,0.159,4.36e-05,0.118,0.582,173.938,audio_features,4YR6Dextuoc3I8nJ0XgzKI,spotify:track:4YR6Dextuoc3I8nJ0XgzKI,https://api.spotify.com/v1/tracks/4YR6Dextuoc3I8nJ0XgzKI,https://api.spotify.com/v1/audio-analysis/4YR6Dextuoc3I8nJ0XgzKI,4
Down Under,220867,2,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,audio_features,46RVKt5Edm1zl0rXhPJZxz,spotify:track:46RVKt5Edm1zl0rXhPJZxz,https://api.spotify.com/v1/tracks/46RVKt5Edm1zl0rXhPJZxz,https://api.spotify.com/v1/audio-analysis/46RVKt5Edm1zl0rXhPJZxz,4
Tainted Love,153880,2,0.518,0.51,0,-8.057,0,0.0352,0.476,0.0,0.292,0.651,144.543,audio_features,3HnqpxXpizCRADKCU78cLk,spotify:track:3HnqpxXpizCRADKCU78cLk,https://api.spotify.com/v1/tracks/3HnqpxXpizCRADKCU78cLk,https://api.spotify.com/v1/audio-analysis/3HnqpxXpizCRADKCU78cLk,4
